               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12522,            0.035036,            0.067588,          0.00035899,            0.020494,          0.00020284,          4.2391e-05,             0.10731,            0.020619,            0.060462,               0.091,               0.001,               0.001
                   1,             0.10444,            0.023135,            0.054531,           0.0012966,             0.28148,              0.0047,          0.00096609,            0.089264,            0.016294,            0.046348,            0.081079,           0.0020792,           0.0020792
                   2,            0.086933,            0.023298,            0.043393,               0.346,            0.082051,            0.044605,            0.010858,            0.078699,            0.015914,            0.035343,            0.071137,           0.0031366,           0.0031366
                   3,            0.075666,            0.024105,            0.035133,             0.19772,             0.12042,            0.039294,           0.0093105,            0.077334,            0.014978,            0.029513,            0.061172,           0.0041723,           0.0041723
                   4,            0.071897,            0.022001,            0.028821,             0.59971,             0.17083,             0.14755,            0.038836,             0.07352,            0.015024,            0.024433,            0.051186,           0.0051862,           0.0051862
                   5,            0.069802,            0.022954,            0.024594,             0.53419,             0.26521,             0.19143,            0.068406,            0.070208,            0.013705,            0.020333,            0.041178,           0.0061782,           0.0061782
                   6,            0.069591,            0.020024,             0.02083,             0.62146,             0.29418,             0.27955,             0.08139,            0.072458,            0.011489,            0.014491,            0.031149,           0.0071486,           0.0071486
                   7,            0.071216,            0.018641,            0.016934,             0.62676,             0.24684,             0.24096,            0.063738,            0.068785,            0.011247,            0.012225,            0.021097,           0.0080971,           0.0080971
                   8,            0.068667,            0.017962,            0.013185,             0.62509,             0.43674,             0.34052,             0.11492,            0.066249,            0.010641,           0.0095236,            0.011024,           0.0090238,           0.0090238
                   9,            0.066687,            0.016233,            0.011017,             0.27606,             0.55855,             0.25556,             0.07849,            0.068178,            0.010372,           0.0093587,            0.009109,            0.009109,            0.009109
                  10,            0.063416,             0.01559,           0.0090238,             0.44072,             0.48186,             0.47054,             0.15654,             0.06322,            0.013274,           0.0056882,            0.009109,            0.009109,            0.009109
                  11,            0.062349,            0.015397,           0.0077054,             0.58389,             0.48385,             0.45355,             0.17164,            0.059888,            0.015122,           0.0059043,             0.00901,             0.00901,             0.00901
                  12,            0.060037,             0.01405,           0.0060383,             0.35561,             0.58264,             0.33599,             0.10342,            0.068991,            0.018069,           0.0096107,            0.008911,            0.008911,            0.008911
                  13,            0.057399,            0.014248,           0.0061763,             0.69512,             0.45132,             0.54424,             0.17553,            0.059753,            0.012576,            0.004837,            0.008812,            0.008812,            0.008812
                  14,            0.055472,            0.014353,           0.0057633,             0.42921,              0.6875,             0.50665,             0.18438,            0.059386,            0.016196,           0.0058784,            0.008713,            0.008713,            0.008713
                  15,            0.053156,            0.013613,             0.00519,             0.41958,             0.72654,             0.55559,             0.18393,            0.058525,            0.014658,           0.0052462,            0.008614,            0.008614,            0.008614
                  16,            0.052489,            0.013211,           0.0049114,             0.46227,             0.50454,             0.43204,             0.15315,            0.065163,            0.010154,           0.0063552,            0.008515,            0.008515,            0.008515
                  17,            0.051281,            0.013288,           0.0049243,             0.55053,             0.65958,             0.60329,             0.22147,            0.057109,           0.0085442,           0.0036129,            0.008416,            0.008416,            0.008416
                  18,            0.052101,            0.013358,           0.0046386,             0.39936,             0.71796,             0.58095,             0.24821,            0.057576,           0.0084343,           0.0043616,            0.008317,            0.008317,            0.008317
                  19,            0.051292,            0.013299,           0.0042537,             0.45718,             0.63334,             0.52157,             0.18961,            0.054069,           0.0084571,           0.0054318,            0.008218,            0.008218,            0.008218
                  20,            0.050036,            0.013347,           0.0041834,              0.6639,             0.75199,             0.70612,             0.29883,            0.049693,           0.0088737,           0.0040161,            0.008119,            0.008119,            0.008119
                  21,            0.047972,            0.013116,            0.003721,             0.56761,             0.70089,              0.6119,             0.27144,            0.049377,           0.0082762,           0.0047766,             0.00802,             0.00802,             0.00802
                  22,            0.047645,             0.01258,           0.0036662,             0.77382,             0.71364,             0.74185,             0.32012,            0.046925,           0.0081505,           0.0042681,            0.007921,            0.007921,            0.007921
                  23,            0.047221,            0.012379,           0.0034143,             0.66593,             0.75368,             0.70515,             0.30458,            0.049774,           0.0082619,           0.0078388,            0.007822,            0.007822,            0.007822
                  24,            0.045424,            0.012498,           0.0039175,             0.78384,             0.70839,             0.76562,             0.33474,            0.046502,           0.0082107,           0.0052927,            0.007723,            0.007723,            0.007723
                  25,            0.044455,            0.011784,           0.0037122,             0.69726,             0.76085,             0.75309,             0.30709,            0.048667,           0.0075215,           0.0041271,            0.007624,            0.007624,            0.007624
                  26,            0.044923,            0.012588,           0.0033385,             0.71446,             0.79383,             0.73385,             0.31544,            0.048113,           0.0078268,           0.0042421,            0.007525,            0.007525,            0.007525
                  27,            0.045126,              0.0125,           0.0033073,             0.75323,             0.62057,             0.64906,             0.25214,            0.055536,           0.0082051,           0.0059805,            0.007426,            0.007426,            0.007426
